Mcode,Dist,Picture,Format,Rtg,Rel Date,Prod Co,Domestic   Gross,International   Gross,Worldwide   Gross,Dom   Locs,Opng Wknd   Gross,Wknd   Days,Wknd   Multi,Wk   Multi,Run-  time,Genre,TM,CS,Pattern,Desc
19920708,HEM,Love Or Money,,PG13,01/05/90,,"$44,445",,"$44,445",41,"$16,077",3,,,1:30,Rom Com,,,Regional,
19920347,FOX,Downtown,,R,01/12/90,,"$2,346,150",,"$2,346,150",349,"$954,981",4,,,1:36,"Act/Adv, Comedy",,,Limited,
19920591,PAR,Internal Affairs,,R,01/12/90,,"$27,734,391","$8,500,000","$36,234,391",975,"$5,778,861",4,4.80,3.90,1:57,Susp/Th,,B,Wide,
19922876,NL,Leatherface-Texas Chainsaw Massacre III,,R,01/12/90,,"$5,765,562",,"$5,765,562",1102,"$2,692,087",4,2.10,1.70,1:21,Horror,,,Wide,
19921098,EPI,Ski Patrol,,PG,01/12/90,,"$8,533,973",,"$8,533,973",515,"$1,648,000",4,5.20,4.00,1:31,Comedy,,,Wide,
19920381,ORI,Everybody Wins,,R,01/19/90,,"$1,372,350",,"$1,372,350",451,"$581,979",3,,,1:40,"Susp/Th, Drama",,,Limited,
19921222,UNI,Tremors,,PG13,01/19/90,,"$17,670,424",,"$17,670,424",1472,"$3,731,520",3,4.70,3.70,1:36,"Comedy, Act/Adv, Sci/Fant",,B-,Wide,
19920371,HEM,Encounter At Raven's Gate,,R,01/26/90,,"$72,923",,"$72,923",1,"$4,384",3,,,1:25,"Art/For, Sci/Fant",,,Exclusive,NYC
19920787,MGM,Mortal Passions,,R,01/26/90,,"$197,343",,"$197,343",215,"$109,036",3,,,1:38,Susp/Th,,,Regional,
19921150,MIR,Strike It Rich,,PG,01/26/90,,"$541,626",,"$541,626",206,"$331,875",3,,,1:27,"Art/For, Rom Com",,,Regional,
19920213,MIR,Cinema Paradiso,,PG,02/02/90,,"$11,990,401","$48,491","$12,038,892",1,"$16,552",3,,,2:03,"Art/For, Drama",,,Exclusive,NYC
19920417,PAR,Flashback,,R,02/02/90,,"$6,488,114",,"$6,488,114",875,"$2,910,116",3,2.20,1.70,1:48,"Comedy, Act/Adv",,B+,Wide,
19920513,NL,Heart Condition,,R,02/02/90,,"$4,134,992",,"$4,134,992",885,"$2,149,786",3,1.90,1.50,1:35,"Comedy, Susp/Th",,B,Wide,
19920715,21C,Mack The Knife,,PG13,02/02/90,,"$30,833",,"$30,833",6,"$19,659",3,,,2:00,"Music, Period",,,Exclusive,
19920725,CAN,"Man Called Sarge, A",,PG13,02/02/90,,"$92,706",,"$92,706",188,"$92,706",3,,,1:28,"Comedy, War",,,Regional,
19920750,WB,Men Don't Leave,,PG13,02/02/90,GEF,"$6,070,725","$255,798","$6,326,523",3,"$62,419",3,,,1:55,"Drama, Comedy",,B,Exclusive,
19921135,DIS,Stella,,PG13,02/02/90,TOU,"$20,240,128","$618,002","$20,858,130",1033,"$4,311,656",3,4.70,3.60,1:49,Drama,,A-,Wide,
