Mcode,Dist,Picture,Format,Rtg,Rel Date,Prod Co,Domestic   Gross,International   Gross,Worldwide   Gross,Dom   Locs,Opng Wknd   Gross,Wknd   Days,Wknd   Multi,Wk   Multi,Run-  time,Genre,TM,CS,Pattern,Desc
20071518,IP,"Incredible Machine, The",,,01/01/75,,,,,,,3,,,0:59,Doc,,,Limited,
20072249,JAN,Picnic At Hanging Rock,,,01/01/75,,,,,,,3,,,,Drama,,,Exclusive,
20071509,AFT,"Man In The Glass Booth, The",,NR,01/24/75,,,,,,,3,,,1:57,Drama,,,Limited,
19987406,WB,Rafferty And The Gold Dust Twins,,R,01/31/75,,,,,,,3,,,1:31,Comedy,,,Not Set,
19996504,NY,Arthur Rubinstein - The Love Of Life,,,02/09/75,,,,,,,3,,,1:29,"Doc, Art/For, Bio",,,Exclusive,
20071424,FOX,"Four Musketeers, The",,PG,02/26/75,,,,,,,3,,,1:48,Act/Adv,,,Wide,
20071519,IP,"Other Half Of The Sky, The",,,03/12/75,,,,,,,3,,,1:14,Doc,,,Limited,
20071389,COL,Shampoo,,R,03/13/75,,,,,,,3,,,1:49,"Comedy, Drama",,,Wide,
20064754,CN5,Monty Python And The Holy Grail,,PG,03/14/75,,"$1,827,696",,"$1,827,696",,,3,,,1:29,"Comedy, Art/For",,,Wide,
19987407,WB,Prisoner Of Second Avenue,,PG,03/14/75,,,,,,,3,,,1:38,Comedy,,,Not Set,
20071407,COL,Funny Lady,,PG,03/15/75,,,,,,,3,,,2:16,"Bio, Comedy, Drama",,,Wide,
20071387,COL,Tommy,,PG,03/19/75,,,,,,,3,,,1:51,"Drama, Music",,,Wide,
19987468,WB,"Yakuza, The",,R,03/19/75,,"$1,368,181",,"$1,368,181",,,3,,,1:52,"Act/Adv, Drama",,,Not Set,
20071400,AEM,And Now My Love,,PG,03/21/75,,,,,,,3,,,2:30,"Drama, Rom Dram",,,Limited,
19991553,MGM,Rosebud,,PG,03/24/75,,,,,,,3,,,2:01,Act/Adv,,,Not Set,
19987489,WB,Cleopatra Jones And The Casino Of Gold,,R,04/02/75,,,,,,,3,,,1:34,"Urb/Eth, Act/Adv",,,Wide,
20004761,MGM,"Passenger, The",,PG,04/09/75,,"$620,155","$188,730","$808,885",,,3,,,2:03,"Drama, Susp/Th",,,Not Set,
20074971,FOX,Capone,,R,04/16/75,,"$21,063",,"$21,063",,,3,,,1:41,Drama,,,Limited,
20071588,JAN,L'Invitation,,,04/27/75,,,,,,,3,,,1:40,Comedy,,,Limited,
20071412,COL,Bite The Bullet,,PG,05/01/75,,,,,,,3,,,2:12,"Act/Adv, Western",,,Not Set,
19987482,WB,Doc Savage: The Man Of Bronze,,R,05/02/75,,,,,,,3,,,,"Act/Adv, Comedy",,,Not Set,
20071390,PAR,"Day Of The Locust, The",,R,05/07/75,,,,,,,3,,,2:24,"Drama, Susp/Th",,,Wide,
