Mcode,Dist,Picture,Format,Rtg,Rel Date,Prod Co,Domestic   Gross,International   Gross,Worldwide   Gross,Dom   Locs,Opng Wknd   Gross,Wknd   Days,Wknd   Multi,Wk   Multi,Run-  time,Genre,TM,CS,Pattern,Desc
20064870,RKO,Snow White And The Seven Dwarfs,,G,12/21/37,DSA,"$118,328,683","$40,696,013","$159,024,696",,,3,,,1:23,"Anim, Child/Fam",,,Wide,
20064877,UA,Wuthering Heights,,NR,04/13/39,,"$624,643",,"$624,643",,,3,,,1:43,Drama,,,Exclusive,Released: 04/13/39
20064878,MGM,"Wizard Of Oz, The",,G,08/25/39,,"$24,297,264","$158,197","$24,455,461",,,3,,,1:41,"Child/Fam, Music",,,Wide,"Released: 08/15/39 $22,342,633"
20064688,MGM,Gone With The Wind,,G,12/15/39,,"$10,903,237","$191,900,000","$202,803,237",,,3,,,3:42,"Drama, Period",,,Exclusive,"Released: 12/15/39, gross total $189,523,031"
20064850,RKO,Pinocchio (1940),,G,02/23/40,DSA,"$45,277,597","$912,988","$46,190,585",,,3,,,1:27,"Anim, Child/Fam",,,Exclusive,
20064631,RKO,Citizen Kane,,PG,05/01/41,,"$1,585,634",,"$1,585,634",1,,3,,,1:59,Drama,,,Wide,
20049804,WB,"Maltese Falcon, The",,,10/18/41,,"$20,979",,"$20,979",,,3,,,,"Susp/Th, Drama",,,Wide,
20064589,RKO,Bambi (Ani),,G,08/21/42,DSA,"$79,051,782","$2,423,032","$81,474,814",,,3,,,1:09,"Anim, Child/Fam, Drama",,,Wide,Original release date 08/21/1942
20064612,WB,Casablanca,,PG,01/23/43,,"$3,456,191","$33,230","$3,489,421",,,3,,,1:42,"Rom Dram, War",,,Wide,"Premiere 11/26/42, grosses n/a"
20072696,MGM,Meet Me In St. Louis,,,11/28/44,,"$44,449",,"$44,449",,,3,,,,"Music, Drama",,,Wide,
20064871,RKO,Song Of The South,,G,11/12/46,DIS,"$17,659,346",,"$17,659,346",,,3,,,1:34,"Anim, Child/Fam, Music",,,Wide,Released: 11/12/1946
20064628,RKO,Cinderella (Ani),,G,03/04/50,DSA,"$62,141,149","$19,326,712","$81,467,861",,,3,,,1:16,"Anim, Child/Fam",,,Wide,Release: 03/04/1950
20064569,FOX,All About Eve,,NR,10/13/50,,"$19,585",,"$19,585",,,3,,,2:18,Drama,,,Wide,"Release date- 10/13/50, gross n/a"
19995452,FOX,"Streetcar Named Desire, A - 1951",,NR,09/19/51,,"$12,000,000",,"$12,000,000",,,3,,,2:05,Drama,,,Not Set,
19995465,MGM,"American In Paris, An",,NR,11/10/51,,"$269,512",,"$269,512",,,3,,,1:53,Music,,,Not Set,
19995532,MGM,Singin' In The Rain,,G,03/27/52,,"$7,302,378",,"$7,302,378",1,,3,,,1:43,"Music, Comedy",,,Not Set,NY
20064849,RKO,Peter Pan,,G,02/05/53,DSA,"$43,556,267",,"$43,556,267",,,3,,,1:17,"Anim, Child/Fam, Music",,,Wide,
20000557,WB,Dial M For Murder,,,05/29/54,,"$592,438",,"$592,438",,,3,,,1:45,Susp/Th,,,Not Set,
19995657,PAR,Rear Window,,NR,08/01/54,,"$3,215,884","$125,000","$3,340,884",,,3,,,1:52,Susp/Th,,,Not Set,NYC
