Mcode,Dist,Picture,Format,Rtg,Rel Date,Prod Co,Domestic   Gross,International   Gross,Worldwide   Gross,Dom   Locs,Opng Wknd   Gross,Wknd   Days,Wknd   Multi,Wk   Multi,Run-  time,Genre,TM,CS,Pattern,Desc
20064529,DIS,101 Dalmatians (Ani),,G,01/25/61,DSA,"$144,880,014","$135,289,195","$280,169,209",,"$14,000,000",3,,,1:20,"Anim, Child/Fam",,,Wide,
20064868,TIT,Purple Noon,,PG13,08/31/61,,"$668,591",,"$668,591",,,3,,,1:50,"Art/For, Susp/Th",,,Exclusive,
19996175,UA,West Side Story,,NR,10/18/61,,"$43,700,000",,"$43,700,000",,,3,,,2:33,Music,,,Not Set,NYC
19996185,ALD,El Cid - ALD,,NR,12/14/61,,"$236,156",,"$236,156",,,3,,,3:00,"Drama, Act/Adv, Period",,,Exclusive,
19996236,UA,"Manchurian Candidate, The - UA",,NR,10/24/62,,"$2,757,256",,"$2,757,256",,,3,,,2:06,"Drama, Susp/Th",,,Not Set,
19987265,WB,What Ever Happened to Baby Jane?,,NR,11/03/62,,"$4,050,000",,"$4,050,000",,,3,,,2:12,Susp/Th,,,Not Set,
19996229,COL,Lawrence Of Arabia - COL,,NR,12/16/62,COL,"$44,824,144",,"$44,824,144",,,3,,,3:40,"Act/Adv, Bio, War",,,Exclusive,NYC
19993894,MGM,Dr. No,,PG,05/08/63,,"$16,067,035",,"$16,067,035",,,3,,1.00,1:50,"Act/Adv, Susp/Th",,,Wide,
19996279,EMB,8 1/2,,NR,06/25/63,,"$98,760",,"$98,760",,,3,,,2:20,"Drama, Art/For",,,Not Set,
19996629,LOP,Tom Jones - LOP,,NR,10/06/63,,"$502,689",,"$502,689",,,3,,,2:11,"Comedy, Art/For, Period",,,Not Set,
20064632,EMB,Contempt,,NR,12/20/63,,"$706,604",,"$706,604",,,3,,,1:43,"Art/For, Drama",,,Wide,
19996295,DIS,"Sword In The Stone, The",,G,12/25/63,DSA,"$9,398,907","$2,164,589","$11,563,496",,,3,,,1:15,"Anim, Child/Fam",,,Exclusive,
19996308,COL,Dr. Strangelove,,NR,01/29/64,,"$551,804","$17,804","$569,608",,,3,,,1:33,"Dark Com, Art/For, War",,,Not Set,
19996305,PAR,Becket,,NR,03/11/64,,"$9,165,449",,"$9,165,449",,,3,,,2:28,"Drama, Period",,,Not Set,
19993895,MGM,From Russia With Love,,PG,04/06/64,,"$24,796,765",,"$24,796,765",,,3,,,1:50,"Act/Adv, Susp/Th",,,Wide,
19996334,UA,"Hard Day's Night, A",,G,08/11/64,,"$909,318","$2,294,329","$3,203,647",,,3,,,1:23,"Doc, Comedy",,,Not Set,
19987510,WB,My Fair Lady,,NR,10/22/64,,"$436,744",,"$436,744",,,3,,,2:50,"Music, Comedy",,,Not Set,
19996326,COL,"Finest Hours, The",,,11/10/64,,"$10,288,932",,"$10,288,932",3143,,3,,,1:56,"Bio, Doc",,,Not Set,
19993896,MGM,Goldfinger,,PG,12/22/64,,"$51,081,062",,"$51,081,062",,,3,,1.00,1:52,"Act/Adv, Susp/Th",,,Wide,
19942683,FOX,"Sound Of Music, The",,G,03/02/65,,"$409,354",,"$409,354",,,3,,,2:54,"Music, Bio",,,Exclusive,
19994528,MGM,Thunderball,,,12/21/65,,"$63,595,658",,"$63,595,658",,,3,,1.00,2:10,"Act/Adv, Susp/Th",,,Wide,
19996352,MGM,Doctor Zhivago - 1965,,NR,12/22/65,,"$288,585",,"$288,585",,,3,,,3:17,"Drama, Period, War",,,Exclusive,
19987323,WB,Battle Of The Bulge,,NR,01/01/66,,"$8,450,000",,"$8,450,000",,,3,,,2:47,"Doc, War",,,Not Set,
20064593,DIS,Bambi-Reissue 66,,G,03/25/66,DSA,"$9,000,000",,"$9,000,000",,"$9,000,000",3,,,1:09,"Anim, Child/Fam, Drama",,,Wide,
19987622,WB,Diabolique-1966,,NR,09/01/66,,"$84,084",,"$84,084",,,3,,,1:47,"Susp/Th, Art/For",,,Not Set,
19987389,WB,"Young Girls Of Rochefort, The",,NR,04/11/67,,"$91,837",,"$91,837",,,3,,,2:06,Music,,,Not Set,
20064609,ALD,Belle de Jour,,R,05/24/67,,"$4,037,017","$64,329","$4,101,346",,,3,,,1:40,"Art/For, Drama",,,Not Set,
19994529,MGM,You Only Live Twice,,,06/13/67,,"$43,100,000",,"$43,100,000",,,3,,1.00,1:56,"Act/Adv, Susp/Th",,,Wide,
19987353,WB,"Family Way, The",,,07/14/67,,"$6,952,272",,"$6,952,272",,,3,,,1:55,Rom Com,,,Limited,
19987383,WB,Bonnie And Clyde,,,08/13/67,,"$56,950,100",,"$56,950,100",,,3,,,1:51,"Susp/Th, Drama",,,Not Set,
19996441,DIS,"Jungle Book, The - 1967",,G,10/18/67,DSA,"$70,745,619","$67,800,000","$138,545,619",,,3,,,1:18,"Anim, Child/Fam",,,Not Set,
19996420,EMB,"Graduate, The",,NR,12/21/67,,"$259,279","$11,081","$270,360",,,3,,,1:45,"Comedy, Drama",,,Exclusive,
19996466,MGM,2001: Space Odyssey - MGM,,G,04/02/68,,"$3,727,424","$6,391,107","$10,118,531",,,3,,,2:29,"Sci/Fant, Act/Adv",96,,Not Set,
19996463,COL,Funny Girl,,G,09/19/68,,"$446,612",,"$446,612",,,3,,,2:31,"Bio, Drama, Music",,,Not Set,
